wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,date,menu_item,quantity,is_event_day,is_weekend
150,0,0,0,0,0,0,10,2024-01-04,75 Wings,2,0,0
45,0,0,0,0,0,0,6,2024-01-04,15 Wings,3,0,0
45,0,0,3,3,6,6,6,2024-01-04,15pc Meal for 2,3,0,0
72,0,0,3,3,9,0,9,2024-01-04,24pc Family Pack,3,0,0
30,0,0,0,0,0,0,4,2024-01-04,15 Wings,2,0,0
30,0,0,2,2,4,4,4,2024-01-04,15pc Meal for 2,2,0,0
24,0,3,0,0,3,3,6,2024-01-04,8pc Wing Combo,3,0,0
0,9,3,0,0,3,3,3,2024-01-04,3pc Tender Combo,3,0,0
60,0,0,0,0,0,0,6,2024-01-04,30 Wings,2,0,0
0,24,0,3,3,6,6,6,2024-01-04,8pc Tender Meal for 2,3,0,0
0,3,1,0,0,1,1,1,2024-01-04,3pc Tender Combo,1,0,0
12,0,2,0,0,2,2,4,2024-01-04,6pc Wing Combo,2,0,0
0,15,3,0,0,3,3,3,2024-01-04,5pc Tender Combo,3,0,0
32,12,0,2,0,6,0,8,2024-01-04,Game Night Bundle,2,0,0
8,0,1,0,0,1,1,2,2024-01-04,8pc Wing Combo,1,0,0
0,6,2,0,0,2,2,2,2024-01-04,3pc Tender Combo,2,0,0
30,0,0,0,0,0,0,4,2024-01-04,15 Wings,2,0,0
0,32,0,2,2,6,0,6,2024-01-04,16pc Tender Pack,2,0,0
6,0,1,0,0,1,1,2,2024-01-05,6pc Wing Combo,1,0,0
45,0,0,3,3,6,6,6,2024-01-05,15pc Meal for 2,3,0,0
0,3,1,0,0,1,1,1,2024-01-05,3pc Tender Combo,1,0,0
30,0,0,2,2,4,4,4,2024-01-05,15pc Meal for 2,2,0,0
30,0,0,0,0,0,0,4,2024-01-05,15 Wings,2,0,0
10,0,1,0,0,1,1,2,2024-01-05,10pc Wing Combo,1,0,0
225,0,0,0,0,0,0,15,2024-01-05,75 Wings,3,0,0
100,0,0,4,4,8,0,8,2024-01-05,50pc Party Pack,2,0,0
30,0,0,0,0,0,0,4,2024-01-05,15 Wings,2,0,0
16,0,2,0,0,2,2,4,2024-01-05,8pc Wing Combo,2,0,0
30,0,0,1,1,3,0,3,2024-01-05,30pc Crew Pack,1,0,0
0,16,0,2,2,4,4,4,2024-01-05,8pc Tender Meal for 2,2,0,0
24,0,3,0,0,3,3,6,2024-01-05,8pc Wing Combo,3,0,0
16,0,2,0,0,2,2,4,2024-01-05,8pc Wing Combo,2,0,0
150,0,0,0,0,0,0,10,2024-01-05,75 Wings,2,0,0
0,24,0,3,3,6,6,6,2024-01-05,8pc Tender Meal for 2,3,0,0
12,0,2,0,0,2,2,4,2024-01-05,6pc Wing Combo,2,0,0
24,0,0,1,1,3,0,3,2024-01-05,24pc Family Pack,1,0,0
30,0,0,1,1,3,0,3,2024-01-05,30pc Crew Pack,1,0,0
0,16,0,1,1,3,0,3,2024-01-05,16pc Tender Pack,1,0,0
30,0,3,0,0,3,3,6,2024-01-05,10pc Wing Combo,3,0,0
16,0,2,0,0,2,2,4,2024-01-05,8pc Wing Combo,2,0,0
6,0,1,0,0,1,1,2,2024-01-05,6pc Wing Combo,1,0,0
90,0,0,3,3,9,0,9,2024-01-05,30pc Crew Pack,3,0,0
0,16,0,2,2,4,4,4,2024-01-05,8pc Tender Meal for 2,2,0,0
18,0,3,0,0,3,3,6,2024-01-05,6pc Wing Combo,3,0,0
20,0,0,0,0,0,0,3,2024-01-05,20 Wings,1,0,0
30,0,0,1,1,3,0,3,2024-01-05,30pc Crew Pack,1,0,0
10,0,1,0,0,1,1,2,2024-01-05,10pc Wing Combo,1,0,0
18,0,3,0,0,3,3,6,2024-01-05,6pc Wing Combo,3,0,0
24,0,3,0,0,3,3,6,2024-01-05,8pc Wing Combo,3,0,0
30,0,0,0,0,0,0,3,2024-01-05,30 Wings,1,0,0
0,15,3,0,0,3,3,3,2024-01-05,5pc Tender Combo,3,0,0
0,3,1,0,0,1,1,1,2024-01-05,3pc Tender Combo,1,0,0
0,5,1,0,0,1,1,1,2024-01-05,5pc Tender Combo,1,0,0
60,0,0,2,2,6,0,6,2024-01-05,30pc Crew Pack,2,0,0
0,48,0,3,3,9,0,9,2024-01-05,16pc Tender Pack,3,0,0
6,0,1,0,0,1,1,2,2024-01-05,6pc Wing Combo,1,0,0
0,3,1,0,0,1,1,1,2024-01-05,3pc Tender Combo,1,0,0
24,0,3,0,0,3,3,6,2024-01-05,8pc Wing Combo,3,0,0
16,0,2,0,0,2,2,4,2024-01-05,8pc Wing Combo,2,0,0
30,0,0,2,2,4,4,4,2024-01-05,15pc Meal for 2,2,0,0
6,0,1,0,0,1,1,2,2024-01-05,6pc Wing Combo,1,0,0
18,0,3,0,0,3,3,6,2024-01-05,6pc Wing Combo,3,0,0
30,0,0,2,2,4,4,4,2024-01-05,15pc Meal for 2,2,0,0
48,18,0,3,0,9,0,12,2024-01-05,Game Night Bundle,3,0,0
24,0,3,0,0,3,3,6,2024-01-05,8pc Wing Combo,3,0,0
6,0,1,0,0,1,1,2,2024-01-05,6pc Wing Combo,1,0,0
0,48,0,4,4,8,0,8,2024-01-05,24pc Tender Pack,2,0,0
30,0,0,2,2,4,4,4,2024-01-06,15pc Meal for 2,2,0,1
10,0,1,0,0,1,1,2,2024-01-06,10pc Wing Combo,1,0,1
150,0,0,6,6,12,0,10,2024-01-06,75pc Pack,2,0,1
0,24,0,3,3,6,6,6,2024-01-06,8pc Tender Meal for 2,3,0,1
30,0,0,2,2,4,4,4,2024-01-06,15pc Meal for 2,2,0,1
60,0,0,0,0,0,0,6,2024-01-06,30 Wings,2,0,1
6,0,1,0,0,1,1,2,2024-01-06,6pc Wing Combo,1,0,1
30,0,0,1,1,3,0,3,2024-01-06,30pc Crew Pack,1,0,1
75,0,0,0,0,0,0,5,2024-01-06,75 Wings,1,0,1
0,6,2,0,0,2,2,2,2024-01-06,3pc Tender Combo,2,0,1
90,0,0,3,3,9,0,9,2024-01-06,30pc Crew Pack,3,0,1
0,3,1,0,0,1,1,1,2024-01-06,3pc Tender Combo,1,0,1
0,3,1,0,0,1,1,1,2024-01-06,3pc Tender Combo,1,0,1
0,32,0,2,2,6,0,6,2024-01-06,16pc Tender Pack,2,0,1
8,0,1,0,0,1,1,2,2024-01-06,8pc Wing Combo,1,0,1
30,0,3,0,0,3,3,6,2024-01-06,10pc Wing Combo,3,0,1
0,9,3,0,0,3,3,3,2024-01-06,3pc Tender Combo,3,0,1
15,0,0,0,0,0,0,2,2024-01-06,15 Wings,1,0,1
0,3,1,0,0,1,1,1,2024-01-06,3pc Tender Combo,1,0,1
20,0,2,0,0,2,2,4,2024-01-06,10pc Wing Combo,2,0,1
0,24,0,3,3,6,6,6,2024-01-06,8pc Tender Meal for 2,3,0,1
0,48,0,3,3,9,0,9,2024-01-06,16pc Tender Pack,3,0,1
10,0,1,0,0,1,1,2,2024-01-06,10pc Wing Combo,1,0,1
48,0,0,2,2,6,0,6,2024-01-06,24pc Family Pack,2,0,1
0,9,3,0,0,3,3,3,2024-01-06,3pc Tender Combo,3,0,1
225,0,0,9,9,18,0,15,2024-01-06,75pc Pack,3,0,1
48,0,0,2,2,6,0,6,2024-01-06,24pc Family Pack,2,0,1
30,0,0,2,2,4,4,4,2024-01-06,15pc Meal for 2,2,0,1
18,0,3,0,0,3,3,6,2024-01-06,6pc Wing Combo,3,0,1
18,0,3,0,0,3,3,6,2024-01-06,6pc Wing Combo,3,0,1
100,0,0,0,0,0,0,8,2024-01-06,50 Wings,2,0,1
45,0,0,0,0,0,0,6,2024-01-06,15 Wings,3,0,1
15,0,0,1,1,2,2,2,2024-01-06,15pc Meal for 2,1,0,1
50,0,0,0,0,0,0,4,2024-01-06,50 Wings,1,0,1
0,16,0,2,2,4,4,4,2024-01-06,8pc Tender Meal for 2,2,0,1
100,0,0,4,4,8,0,8,2024-01-06,50pc Party Pack,2,0,1
150,0,0,6,6,12,0,10,2024-01-06,75pc Pack,2,0,1
6,0,1,0,0,1,1,2,2024-01-06,6pc Wing Combo,1,0,1
18,0,3,0,0,3,3,6,2024-01-06,6pc Wing Combo,3,0,1
0,5,1,0,0,1,1,1,2024-01-06,5pc Tender Combo,1,0,1
0,9,3,0,0,3,3,3,2024-01-06,3pc Tender Combo,3,0,1
10,0,1,0,0,1,1,2,2024-01-06,10pc Wing Combo,1,0,1
150,0,0,0,0,0,0,12,2024-01-06,50 Wings,3,0,1
10,0,0,0,0,0,0,2,2024-01-06,10 Wings,1,0,1
16,0,2,0,0,2,2,4,2024-01-06,8pc Wing Combo,2,0,1
30,0,0,0,0,0,0,3,2024-01-06,30 Wings,1,0,1
300,0,0,0,0,0,0,18,2024-01-06,100 Wings,3,0,1
16,6,0,1,0,3,0,4,2024-01-06,Game Night Bundle,1,0,1
6,0,1,0,0,1,1,2,2024-01-06,6pc Wing Combo,1,0,1
0,16,0,1,1,3,0,3,2024-01-06,16pc Tender Pack,1,0,1
0,6,2,0,0,2,2,2,2024-01-06,3pc Tender Combo,2,0,1
0,8,0,1,1,2,2,2,2024-01-06,8pc Tender Meal for 2,1,0,1
150,0,0,0,0,0,0,10,2024-01-06,75 Wings,2,0,1
0,16,0,2,2,4,4,4,2024-01-06,8pc Tender Meal for 2,2,0,1
15,0,0,0,0,0,0,2,2024-01-06,15 Wings,1,0,1
15,0,0,0,0,0,0,2,2024-01-06,15 Wings,1,0,1
15,0,0,0,0,0,0,2,2024-01-06,15 Wings,1,0,1
90,0,0,3,3,9,0,9,2024-01-06,30pc Crew Pack,3,0,1
10,0,1,0,0,1,1,2,2024-01-07,10pc Wing Combo,1,0,1
0,24,0,3,3,6,6,6,2024-01-07,8pc Tender Meal for 2,3,0,1
6,0,1,0,0,1,1,2,2024-01-07,6pc Wing Combo,1,0,1
16,0,2,0,0,2,2,4,2024-01-07,8pc Wing Combo,2,0,1
30,0,3,0,0,3,3,6,2024-01-07,10pc Wing Combo,3,0,1
15,0,0,1,1,2,2,2,2024-01-07,15pc Meal for 2,1,0,1
48,18,0,3,0,9,0,12,2024-01-07,Game Night Bundle,3,0,1
0,8,0,1,1,2,2,2,2024-01-07,8pc Tender Meal for 2,1,0,1
24,0,0,1,1,3,0,3,2024-01-07,24pc Family Pack,1,0,1
0,16,0,1,1,3,0,3,2024-01-07,16pc Tender Pack,1,0,1
40,0,0,0,0,0,0,6,2024-01-07,20 Wings,2,0,1
100,0,0,0,0,0,0,8,2024-01-07,50 Wings,2,0,1
18,0,3,0,0,3,3,6,2024-01-07,6pc Wing Combo,3,0,1
24,0,0,1,1,3,0,3,2024-01-07,24pc Family Pack,1,0,1
6,0,1,0,0,1,1,2,2024-01-07,6pc Wing Combo,1,0,1
30,0,0,2,2,4,4,4,2024-01-07,15pc Meal for 2,2,0,1
8,0,1,0,0,1,1,2,2024-01-07,8pc Wing Combo,1,0,1
0,10,2,0,0,2,2,2,2024-01-07,5pc Tender Combo,2,0,1
24,0,0,1,1,3,0,3,2024-01-07,24pc Family Pack,1,0,1
30,0,3,0,0,3,3,6,2024-01-07,10pc Wing Combo,3,0,1
10,0,1,0,0,1,1,2,2024-01-07,10pc Wing Combo,1,0,1
24,0,0,1,1,3,0,3,2024-01-07,24pc Family Pack,1,0,1
20,0,2,0,0,2,2,4,2024-01-07,10pc Wing Combo,2,0,1
30,0,0,1,1,3,0,3,2024-01-07,30pc Crew Pack,1,0,1
6,0,1,0,0,1,1,2,2024-01-07,6pc Wing Combo,1,0,1
20,0,2,0,0,2,2,4,2024-01-07,10pc Wing Combo,2,0,1
90,0,0,3,3,9,0,9,2024-01-07,30pc Crew Pack,3,0,1
0,15,3,0,0,3,3,3,2024-01-07,5pc Tender Combo,3,0,1
20,0,2,0,0,2,2,4,2024-01-07,10pc Wing Combo,2,0,1
16,0,2,0,0,2,2,4,2024-01-07,8pc Wing Combo,2,0,1
12,0,2,0,0,2,2,4,2024-01-07,6pc Wing Combo,2,0,1
60,0,0,0,0,0,0,6,2024-01-07,30 Wings,2,0,1
60,0,0,2,2,6,0,6,2024-01-07,30pc Crew Pack,2,0,1
0,9,3,0,0,3,3,3,2024-01-07,3pc Tender Combo,3,0,1
90,0,0,0,0,0,0,9,2024-01-07,30 Wings,3,0,1
12,0,2,0,0,2,2,4,2024-01-07,6pc Wing Combo,2,0,1
15,0,0,0,0,0,0,2,2024-01-07,15 Wings,1,0,1
0,6,2,0,0,2,2,2,2024-01-07,3pc Tender Combo,2,0,1
8,0,1,0,0,1,1,2,2024-01-07,8pc Wing Combo,1,0,1
60,0,0,2,2,6,0,6,2024-01-07,30pc Crew Pack,2,0,1
20,0,0,0,0,0,0,4,2024-01-07,10 Wings,2,0,1
150,0,0,6,6,12,0,12,2024-01-07,50pc Party Pack,3,0,1
16,6,0,1,0,3,0,4,2024-01-07,Game Night Bundle,1,0,1
24,0,0,1,1,3,0,3,2024-01-07,24pc Family Pack,1,0,1
0,48,0,3,3,9,0,9,2024-01-07,16pc Tender Pack,3,0,1
72,0,0,3,3,9,0,9,2024-01-07,24pc Family Pack,3,0,1
45,0,0,0,0,0,0,6,2024-01-07,15 Wings,3,0,1
0,9,3,0,0,3,3,3,2024-01-07,3pc Tender Combo,3,0,1
6,0,1,0,0,1,1,2,2024-01-07,6pc Wing Combo,1,0,1
6,0,1,0,0,1,1,2,2024-01-07,6pc Wing Combo,1,0,1
16,0,2,0,0,2,2,4,2024-01-07,8pc Wing Combo,2,0,1
12,0,2,0,0,2,2,4,2024-01-07,6pc Wing Combo,2,0,1
18,0,3,0,0,3,3,6,2024-01-07,6pc Wing Combo,3,0,1
0,24,0,3,3,6,6,6,2024-01-07,8pc Tender Meal for 2,3,0,1
0,15,3,0,0,3,3,3,2024-01-08,5pc Tender Combo,3,1,0
0,15,3,0,0,3,3,3,2024-01-08,5pc Tender Combo,3,1,0
0,9,3,0,0,3,3,3,2024-01-08,3pc Tender Combo,3,1,0
12,0,2,0,0,2,2,4,2024-01-08,6pc Wing Combo,2,1,0
0,32,0,2,2,6,0,6,2024-01-08,16pc Tender Pack,2,1,0
0,6,2,0,0,2,2,2,2024-01-08,3pc Tender Combo,2,1,0
90,0,0,3,3,9,0,9,2024-01-08,30pc Crew Pack,3,1,0
40,0,0,0,0,0,0,6,2024-01-08,20 Wings,2,1,0
30,0,0,2,2,4,4,4,2024-01-08,15pc Meal for 2,2,1,0
0,3,1,0,0,1,1,1,2024-01-08,3pc Tender Combo,1,1,0
0,16,0,2,2,4,4,4,2024-01-08,8pc Tender Meal for 2,2,1,0
20,0,0,0,0,0,0,4,2024-01-08,10 Wings,2,1,0
150,0,0,6,6,12,0,12,2024-01-08,50pc Party Pack,3,1,0
45,0,0,0,0,0,0,6,2024-01-08,15 Wings,3,1,0
0,72,0,6,6,12,0,12,2024-01-08,24pc Tender Pack,3,1,0
18,0,3,0,0,3,3,6,2024-01-08,6pc Wing Combo,3,1,0
18,0,3,0,0,3,3,6,2024-01-08,6pc Wing Combo,3,1,0
0,15,3,0,0,3,3,3,2024-01-08,5pc Tender Combo,3,1,0
30,0,0,2,2,4,4,4,2024-01-08,15pc Meal for 2,2,1,0
30,0,3,0,0,3,3,6,2024-01-08,10pc Wing Combo,3,1,0
0,9,3,0,0,3,3,3,2024-01-08,3pc Tender Combo,3,1,0
15,0,0,1,1,2,2,2,2024-01-08,15pc Meal for 2,1,1,0
0,6,2,0,0,2,2,2,2024-01-08,3pc Tender Combo,2,1,0
100,0,0,4,4,8,0,8,2024-01-08,50pc Party Pack,2,1,0
0,6,2,0,0,2,2,2,2024-01-08,3pc Tender Combo,2,1,0
72,0,0,3,3,9,0,9,2024-01-08,24pc Family Pack,3,1,0
0,24,0,3,3,6,6,6,2024-01-08,8pc Tender Meal for 2,3,1,0
24,0,3,0,0,3,3,6,2024-01-08,8pc Wing Combo,3,1,0
0,8,0,1,1,2,2,2,2024-01-08,8pc Tender Meal for 2,1,1,0
90,0,0,3,3,9,0,9,2024-01-08,30pc Crew Pack,3,1,0
15,0,0,0,0,0,0,2,2024-01-08,15 Wings,1,1,0
200,0,0,8,8,16,0,12,2024-01-08,100pc Pack,2,1,0
300,0,0,0,0,0,0,18,2024-01-08,100 Wings,3,1,0
0,5,1,0,0,1,1,1,2024-01-08,5pc Tender Combo,1,1,0
10,0,1,0,0,1,1,2,2024-01-08,10pc Wing Combo,1,1,0
30,0,0,0,0,0,0,6,2024-01-08,10 Wings,3,1,0
